SPCRECID,SCINAME
147,Francolinus pictus
149,Francolinus pondicerianus
194,Coturnix coturnix
198,Coturnix coromandelica
204,Perdicula asiatica
205,Perdicula argoondah
206,Perdicula erythrorhyncha
232,Galloperdix spadicea
233,Galloperdix lunulata
247,Gallus sonneratii
285,Pavo cristatus
349,Dendrocygna bicolor
351,Dendrocygna javanica
379,Anser indicus
397,Tadorna ferruginea
412,Sarkidiornis melanotos
414,Nettapus coromandelianus
429,Anas penelope
448,Anas clypeata
457,Anas acuta
460,Anas querquedula
467,Marmaronetta angustirostris
469,Netta rufina
472,Aythya ferina
476,Aythya nyroca
480,Aythya fuligula
504,Turnix sylvaticus
508,Turnix tanki
510,Turnix suscitator
538,Jynx torquilla
540,Picumnus innominatus
628,Dendrocopos nanus
636,Dendrocopos mahrattensis
691,Celeus brachyurus
706,Dryocopus javensis
721,Picus chlorolophus
737,Dinopium javanense
738,Dinopium benghalense
739,Chrysocolaptes lucidus
740,Chrysocolaptes festivus
751,Hemicircus canente
758,Megalaima zeylanica
760,Megalaima viridis
778,Megalaima rubricapillus
779,Megalaima haemacephala
943,Ocyceros griseus
945,Ocyceros birostris
946,Anthracoceros coronatus
952,Buceros bicornis
984,Upupa epops
1023,Harpactes fasciatus
1038,Coracias benghalensis
1043,Eurystomus orientalis
1066,Alcedo atthis
1069,Alcedo meninting
1083,Ceyx erithaca
1098,Pelargopsis capensis
1102,Halcyon smyrnensis
1103,Halcyon pileata
1123,Todiramphus chloris
1155,Ceryle rudis
1161,Nyctyornis athertoni
1174,Merops orientalis
1179,Merops philippinus
1182,Merops leschenaulti
1192,Clamator jacobinus
1194,Clamator coromandus
1198,Cuculus sparverioides
1199,Cuculus varius
1204,Cuculus micropterus
1208,Cuculus poliocephalus
1214,Cacomantis sonneratii
1215,Cacomantis passerinus
1231,Chrysococcyx maculatus
1239,Surniculus lugubris
1241,Eudynamys scolopaceus
1250,Phaenicophaeus viridirostris
1251,Phaenicophaeus leschenaultii
1282,Centropus sinensis
1288,Centropus bengalensis
1515,Loriculus vernalis
1527,Psittacula eupatria
1529,Psittacula krameri
1535,Psittacula cyanocephala
1537,Psittacula columboides
1712,Collocalia unicolor
1743,Zoonavena sylvatica
1752,Hirundapus giganteus
1772,Cypsiurus balasiensis
1773,Tachymarptis melba
1787,Apus affinis
1793,Hemiprocne coronata
2155,Tyto alba
2158,Tyto longimembris
2160,Phodilus badius
2174,Otus brucei
2186,Otus bakkamoena
2216,Bubo bengalensis
2222,Bubo nipalensis
2226,Bubo coromandus
2230,Ketupa zeylonensis
2238,Strix ocellata
2239,Strix leptogrammica
2278,Glaucidium radiatum
2288,Athene brama
2301,Ninox scutulata
2322,Asio flammeus
2340,Batrachostomus moniliger
2361,Eurostopodus macrotis
2400,Caprimulgus indicus
2405,Caprimulgus mahrattensis
2411,Caprimulgus atripennis
2420,Caprimulgus asiaticus
2424,Caprimulgus affinis
2444,Columba livia
2451,Columba eversmanni
2464,Columba elphinstonii
2501,Streptopelia orientalis
2502,Stigmatopelia senegalensis
2503,Stigmatopelia chinensis
2507,Streptopelia tranquebarica
2509,Streptopelia decaocto
2534,Chalcophaps indica
2634,Treron bicinctus
2635,Treron pompadora
2642,Treron phoenicopterus
2715,Ducula aenea
2740,Ducula badia
2767,Ardeotis nigriceps
2783,Sypheotides indicus
2791,Anthropoides virgo
2832,Rallina eurizonoides
2863,Gallirallus striatus
2892,Amaurornis akool
2896,Amaurornis phoenicurus
2901,Porzana pusilla
2903,Porzana porzana
2909,Porzana fusca
2926,Gallicrex cinerea
2927,Porphyrio porphyrio
2937,Gallinula chloropus
2944,Fulica atra
2961,Pterocles exustus
2970,Pterocles indicus
2978,Scolopax rusticola
2986,Gallinago nemoricola
2987,Gallinago stenura
2988,Gallinago megala
3000,Lymnocryptes minimus
3003,Limosa limosa
3005,Limosa lapponica
3009,Numenius phaeopus
3012,Numenius arquata
3016,Tringa erythropus
3018,Tringa stagnatilis
3019,Tringa nebularia
3024,Tringa ochropus
3025,Tringa glareola
3026,Xenus cinereus
3027,Actitis hypoleucos
3034,Arenaria interpres
3041,Calidris canutus
3042,Calidris alba
3045,Calidris minuta
3047,Calidris temminckii
3056,Calidris alpina
3057,Calidris ferruginea
3060,Eurynorhynchus pygmeus
3062,Philomachus pugnax
3072,Hydrophasianus chirurgus
3073,Metopidius indicus
3079,Burhinus oedicnemus
3086,Esacus recurvirostris
3101,Himantopus himantopus
3112,Pluvialis fulva
3114,Pluvialis squatarola
3119,Charadrius dubius
3129,Charadrius alexandrinus
3138,Charadrius mongolus
3139,Charadrius leschenaultii
3155,Vanellus malarbaricus
3165,Vanellus indicus
3172,Vanellus gregarius
3173,Vanellus leucurus
3177,Dromas ardeola
3186,Cursorius coromandelicus
3188,Glareola maldivarum
3193,Glareola lactea
3206,Rynchops albicollis
3232,Larus ichthyaetus
3233,Larus brunnicephalus
3240,Larus ridibundus
3241,Larus genei
3257,Sterna nilotica
3258,Sterna caspia
3259,Sterna aurantia
3262,Sterna bengalensis
3266,Sterna dougallii
3270,Sterna hirundo
3276,Sterna albifrons
3277,Sterna saundersi
3283,Sterna repressa
3284,Sterna acuticauda
3287,Sterna anaethetus
3288,Sterna fuscata
3290,Chlidonias hybrida
3324,Pandion haliaetus
3327,Aviceda jerdoni
3329,Aviceda leuphotes
3335,Pernis ptilorhyncus
3342,Elanus caeruleus
3358,Haliastur indus
3359,Haliaeetus leucogaster
3367,Ichthyophaga humilis
3368,Ichthyophaga ichthyaetus
3371,Neophron percnopterus
3374,Gyps bengalensis
3383,Sarcogyps calvus
3390,Spilornis cheela
3399,Circus aeruginosus
3409,Circus macrourus
3410,Circus melanoleucos
3411,Circus pygargus
3420,Accipiter trivirgatus
3425,Accipiter badius
3447,Accipiter virgatus
3455,Accipiter nisus
3473,Butastur teesa
3529,Ictinaetus malayensis
3532,Aquila rapax
3533,Aquila nipalensis
3541,Aquila fasciatus
3543,Hieraaetus pennatus
3546,Lophotriorchis kienerii
3552,Nisaetus nipalensis
3589,Falco naumanni
3590,Falco tinnunculus
3602,Falco chicquera
3604,Falco amurensis
3610,Falco subbuteo
3612,Falco severus
3618,Falco jugger
3622,Falco peregrinus
3628,Tachybaptus ruficollis
3639,Podiceps cristatus
3662,Anhinga melanogaster
3667,Phalacrocorax niger
3676,Phalacrocorax fuscicollis
3679,Phalacrocorax carbo
3715,Ardea cinerea
3725,Ardea purpurea
3728,Casmerodius albus
3729,Mesophoyx intermedia
3730,Bubulcus ibis
3732,Ardeola grayii
3737,Butorides striata
3742,Nycticorax nycticorax
3747,Gorsachius melanolophus
3757,Ixobrychus sinensis
3761,Ixobrychus cinnamomeus
3763,Ixobrychus flavicollis
3766,Botaurus stellaris
3769,Phoenicopterus roseus
3771,Phoeniconaias minor
3777,Plegadis falcinellus
3795,Threskiornis melanocephalus
3798,Pseudibis papillosa
3802,Platalea leucorodia
3812,Pelecanus philippensis
3827,Mycteria leucocephala
3828,Anastomus oscitans
3830,Ciconia nigra
3832,Ciconia episcopus
3835,Ciconia ciconia
3837,Ephippiorhynchus asiaticus
3840,Leptoptilos javanicus
3928,Puffinus pacificus
3930,Puffinus carneipes
3969,Oceanites oceanicus
3973,Fregetta tropica
3981,Oceanodroma monorhis
4017,Pitta brachyura
5507,Irena puella
5527,Lanius isabellinus
5528,Lanius cristatus
5532,Lanius vittatus
5533,Lanius schach
5736,Dendrocitta vagabunda
5739,Dendrocitta leucogastra
5760,Corvus splendens
5785,Corvus levaillantii
5857,Artamus fuscus
5882,Oriolus oriolus
5884,Oriolus chinensis
5893,Oriolus xanthornus
5903,Coracina macei
5948,Coracina melanoptera
5970,Pericrocotus divaricatus
5972,Pericrocotus cinnamomeus
5975,Pericrocotus erythropygius
5980,Pericrocotus flammeus
5981,Hemipus picatus
5988,Rhipidura albicollis
5990,Rhipidura aureola
6034,Dicrurus macrocercus
6035,Dicrurus leucophaeus
6036,Dicrurus caerulescens
6038,Dicrurus aeneus
6048,Dicrurus paradiseus
6061,Hypothymis azurea
6071,Terpsiphone paradisi
6147,Aegithina tiphia
6148,Aegithina nigrolutea
6243,Tephrodornis pondicerianus
6292,Monticola cinclorhynchus
6295,Monticola solitarius
6300,Myophonus horsfieldii
6309,Zoothera wardii
6312,Zoothera citrina
6394,Turdus merula
6490,Muscicapa dauurica
6493,Muscicapa ruficauda
6494,Muscicapa muttui
6521,Ficedula subrubra
6536,Ficedula superciliaris
6539,Ficedula nigrorufa
6542,Eumyias thalassinus
6545,Eumyias albicaudatus
6560,Cyornis pallipes
6563,Cyornis rubeculoides
6569,Cyornis tickelliae
6573,Culicicapa ceylonensis
6596,Luscinia svecica
6600,Luscinia brunnea
6640,Copsychus saularis
6647,Saxicoloides fulicatus
6651,Phoenicurus ochruros
6682,Saxicola torquatus
6685,Saxicola caprata
6709,Oenanthe isabellina
6717,Cercomela fusca
6807,Sturnus malabaricus
6809,Sturnus pagodarum
6814,Sturnus roseus
6818,Sturnus contra
6823,Acridotheres tristis
6824,Acridotheres ginginianus
6825,Acridotheres fuscus
6841,Gracula religiosa
6883,Sitta castanea
6898,Sitta frontalis
7053,Parus nuchalis
7054,Parus xanthogenys
7106,Riparia paludicola
7112,Hirundo rupestris
7115,Hirundo concolor
7116,Hirundo rustica
7121,Hirundo domicola
7124,Hirundo smithii
7147,Hirundo fluvicola
7178,Pycnonotus priocephalus
7180,Pycnonotus melanicterus
7183,Pycnonotus jocosus
7194,Pycnonotus leucotis
7196,Pycnonotus cafer
7203,Pycnonotus xantholaemus
7206,Pycnonotus luteolus
7288,Iole indica
7305,Hypsipetes leucocephalus
7352,Cisticola juncidis
7361,Cisticola exilis
7369,Prinia buchanani
7371,Prinia hodgsonii
7373,Prinia sylvatica
7376,Prinia socialis
7379,Prinia inornata
7455,Zosterops palpebrosus
7589,Locustella naevia
7601,Acrocephalus agricola
7605,Acrocephalus dumetorum
7608,Acrocephalus stentoreus
7627,Acrocephalus aedon
7630,Hippolais caligata
7631,Hippolais rama
7646,Orthotomus sutorius
7702,Phylloscopus collybita
7709,Phylloscopus affinis
7711,Phylloscopus griseolus
7721,Phylloscopus trochiloides
7724,Phylloscopus magnirostris
7725,Phylloscopus tytleri
7726,Phylloscopus occipitalis
7773,Chaetornis striata
7776,Schoenicola platyurus
7796,Garrulax delesserti
7847,Pellorneum ruficeps
7934,Dumetia hyperythra
7935,Rhopocichla atriceps
7943,Chrysomma sinense
7948,Turdoides caudata
7952,Turdoides malcolmi
7957,Turdoides subrufa
7958,Turdoides striata
7960,Turdoides affinis
8009,Alcippe poioicephala
8078,Sylvia althaea
8081,Sylvia hortensis
8093,Mirafra cantillans
8112,Mirafra erythroptera
8137,Eremopterix griseus
8139,Ammomanes phoenicura
8169,Galerida cristata
8171,Galerida malabarica
8172,Galerida deva
8179,Alauda gulgula
8192,Dicaeum agile
8208,Dicaeum erythrorhynchos
8209,Dicaeum concolor
8271,Nectarinia zeylonica
8272,Nectarinia minima
8289,Nectarinia asiatica
8291,Nectarinia lotenia
8341,Aethopyga siparaja
8344,Arachnothera longirostra
8367,Passer domesticus
8390,Petronia xanthocollis
8402,Dendronanthus indicus
8403,Motacilla alba
8406,Motacilla madaraspatensis
8410,Motacilla citreola
8411,Motacilla flava
8412,Motacilla cinerea
8429,Anthus richardi
8430,Anthus rufulus
8437,Anthus godlewskii
8441,Anthus similis
8446,Anthus trivialis
8447,Anthus hodgsoni
8456,Anthus nilghiriensis
8544,Ploceus manyar
8545,Ploceus philippinus
8663,Amandava amandava
8664,Amandava formosa
8698,Lonchura malabarica
8704,Lonchura striata
8708,Lonchura kelaarti
8709,Lonchura punctulata
8713,Lonchura malacca
8854,Carpodacus erythrinus
8928,Melophus lathami
8960,Emberiza melanocephala
8961,Emberiza bruniceps
30133,Otus sunia
30245,Phylloscopus humei
31027,Anas crecca
31029,Gyps indicus
31036,Aquila hastata
31051,Gallinago gallinago
31195,Lanius excubitor
31546,Nisaetus cirrhatus
31636,Chloropsis jerdoni
31685,Mirafra affinis
32154,Zoothera dauma
32239,Ficedula albicilla
32257,Circaetus gallicus
32266,Copsychus malabaricus
32280,Chloropsis aurifrons
32282,Mirafra assamica
32423,Milvus migrans
32458,Macronous gularis
32469,Coturnix chinensis
32500,Strophocincla fairbanki
32501,Strophocincla cachinnans
32502,Myiomela major
32503,Myiomela albiventris
32518,Pomatorhinus horsfieldii
32556,Egretta garzetta
32580,Rostratula benghalensis
32591,Buteo buteo
32599,Ficedula parva
32601,Hirundo daurica
32603,Larus cachinnans
32615,Parus major
32683,Dicrurus hottentottus
32715,Anas poecilorhyncha
